video_id,publishedAt,channelId,title,description,thumbnails.default.url,thumbnails.default.width,thumbnails.default.height,thumbnails.medium.url,thumbnails.medium.width,thumbnails.medium.height,thumbnails.high.url,thumbnails.high.width,thumbnails.high.height,channelTitle,liveBroadcastContent
W6arqnQOQZY,2018-06-02T07:20:10.000Z,UCEeSzRl1u-jhwGv93TR5vRA,PM Abiy Ahmed speaking about reform to the military,Ethiopia's prime minister Abiy Ahmed talks about national reform to the military.,https://i.ytimg.com/vi/W6arqnQOQZY/default.jpg,120,90,https://i.ytimg.com/vi/W6arqnQOQZY/mqdefault.jpg,320,180,https://i.ytimg.com/vi/W6arqnQOQZY/hqdefault.jpg,480,360,Ecadf Ethiopia,none
SCXSugRgahU,2018-06-02T09:37:42.000Z,UCn-x-TvMDW28zgDM6SNXAiA,ጠ/ሚ አብይ - አሁን የምናገረው ብሌር እንዲሰማ አልፈልግም ፤ በሚስጥር ይያዝልኝ PM Abiy Ahmed meets Tony Blair,ጠ/ሚ አብይ - አሁን የምናገረው ብሌር እንዲሰማ አልፈልግም ፤ በሚስጥር ይያዝልኝ PM Abiy Ahmed meets former PM of England Tony Blair.,https://i.ytimg.com/vi/SCXSugRgahU/default.jpg,120,90,https://i.ytimg.com/vi/SCXSugRgahU/mqdefault.jpg,320,180,https://i.ytimg.com/vi/SCXSugRgahU/hqdefault.jpg,480,360,EthioInfo,none
ywjTYrCCudY,2018-05-18T17:07:53.000Z,UCADXAQ-WsE6YusaG2FC23BQ,Ethiopia: PM Dr Abiy Ahmed in Saudi Arabia,"Check Out Ethiopian News, New Ethiopian Musics, Ethiopian Comedy and More Ethiopian Videos by Subscribing Here: https://goo.gl/kATImk Unauthorized use, ...",https://i.ytimg.com/vi/ywjTYrCCudY/default.jpg,120,90,https://i.ytimg.com/vi/ywjTYrCCudY/mqdefault.jpg,320,180,https://i.ytimg.com/vi/ywjTYrCCudY/hqdefault.jpg,480,360,tenaadam,none
q4dNU-bpCGk,2018-06-10T11:52:24.000Z,UCQlvmUtvPPDET8tnkRPIocw,Prime Minister Abiy  Arrives in Egypt |Best Latest ethiopian news new today youtube video 2018,Best Latest ethiopian news new today youtube video 2018 Abiy Ahmed Ali is an Ethiopian politician. He is the 12th Prime Minister of Ethiopia. He is Chairman of ...,https://i.ytimg.com/vi/q4dNU-bpCGk/default.jpg,120,90,https://i.ytimg.com/vi/q4dNU-bpCGk/mqdefault.jpg,320,180,https://i.ytimg.com/vi/q4dNU-bpCGk/hqdefault.jpg,480,360,ethiopia hagere,none
8bGDjSheC8A,2018-05-17T08:59:31.000Z,UC5OHRPjRa4XYIU5OQUdnDpg,ጠ/ሚንስትር እንደምሆን ባለቤቴ ፓስተር ዝናሽ ተንብያልኝ ነበር Ethiopia Dr. Abiy Ahmed,ጠ/ሚንስትር እንደምሆን ባላቤቴ ፓስተር ዝናሽ ተንብያልኝ ነበር Ethiopia Dr. Abiy Ahmed https://youtu.be/8bGDjSheC8A ...,https://i.ytimg.com/vi/8bGDjSheC8A/default.jpg,120,90,https://i.ytimg.com/vi/8bGDjSheC8A/mqdefault.jpg,320,180,https://i.ytimg.com/vi/8bGDjSheC8A/hqdefault.jpg,480,360,fikir tube,none
Fi0AnTrgkU0,2018-05-27T23:31:11.000Z,UCADXAQ-WsE6YusaG2FC23BQ,"Andualem Arage Speech In Amsterdam, Netherlands | Birtukan Mideksa | Dr Abiy Ahmed | Lema Megersa","Check Out Ethiopian News, New Ethiopian Musics, Ethiopian Comedy and More Ethiopian Videos by Subscribing Here: https://goo.gl/kATImk Unauthorized use, ...",https://i.ytimg.com/vi/Fi0AnTrgkU0/default.jpg,120,90,https://i.ytimg.com/vi/Fi0AnTrgkU0/mqdefault.jpg,320,180,https://i.ytimg.com/vi/Fi0AnTrgkU0/hqdefault.jpg,480,360,tenaadam,none
D_nfPrIwKGc,2018-06-30T22:00:00.000Z,UCn-x-TvMDW28zgDM6SNXAiA,ጠ/ሚ አብይ ስለ ኬኔዲ መንገሻ የተናገሩት ይፋ ወጣ PM Abiy About Kennedy Mengesha,ጠ/ሚ አብይ ስለ ኬኔዲ መንገሻ የተናገሩት ይፋ ወጣ PM Abiy Ahmed About Kennedy Mengesha. Tadias Addis with Seifu Fantahun.,https://i.ytimg.com/vi/D_nfPrIwKGc/default.jpg,120,90,https://i.ytimg.com/vi/D_nfPrIwKGc/mqdefault.jpg,320,180,https://i.ytimg.com/vi/D_nfPrIwKGc/hqdefault.jpg,480,360,EthioInfo,none
X1_ZHnDs0RM,2018-04-02T13:48:09.000Z,UCQlvmUtvPPDET8tnkRPIocw,Ethiopia Prime Minster Dr Abiy Ahmed's First interview& Welcome|Ethiopian news today,"Watch more about Ethiopian Entertainment videos such as Ethiopian movie, Ethiopian drama, Ethiopian music, Ethiopian comedy, Ethiopian health, senselet, ...",https://i.ytimg.com/vi/X1_ZHnDs0RM/default.jpg,120,90,https://i.ytimg.com/vi/X1_ZHnDs0RM/mqdefault.jpg,320,180,https://i.ytimg.com/vi/X1_ZHnDs0RM/hqdefault.jpg,480,360,ethiopia hagere,none
GsXBfbroa9k,2018-06-23T08:06:24.000Z,UChrfQqipNvkqta6nBIvR3RA,Ethiopia# Details On the Bomb Explosion Dr. Abiy Rally,,https://i.ytimg.com/vi/GsXBfbroa9k/default.jpg,120,90,https://i.ytimg.com/vi/GsXBfbroa9k/mqdefault.jpg,320,180,https://i.ytimg.com/vi/GsXBfbroa9k/hqdefault.jpg,480,360,GW-Ethiopia,none
S3wMGiT74SI,2018-06-19T18:09:02.000Z,UC5OHRPjRa4XYIU5OQUdnDpg,ጠ/ሚንስትር አብይ ዛሬ በሀዋሳ ያደረጉት አስገራሚ ንግግር Dr. Abiy Ahmed,EBC በሃዋሣ ከጠፋው የሠው ህይወትና ንብረት ውድመት ጀርባ ያሉ አካላት ለህግ ለማቅረብ ይሰራል-- ጠ-ሚ ዐቢይ አህመድ_HD ...,https://i.ytimg.com/vi/S3wMGiT74SI/default.jpg,120,90,https://i.ytimg.com/vi/S3wMGiT74SI/mqdefault.jpg,320,180,https://i.ytimg.com/vi/S3wMGiT74SI/hqdefault.jpg,480,360,fikir tube,none
